Departamentos;Muestras Claro;Muestras Personal;Muestras Movistar;THP Claro;THP Personal;THP Movistar;Latencia Claro;Latencia Mejor;Intensidad Claro;Intensidad Mejor;Tiempo IyV Claro;Tiempo IyV Mejor;Localidad;Provincia;Periodo
Guasayán, SANTIAGO DEL ESTERO;1,060,000;997;42,4;5.99;12.45;2.98;82;66;-98;-89;91;56;Guasayán;SANTIAGO DEL ESTERO;feb-24
Banda, SANTIAGO DEL ESTERO;2,620,000;11,700,000;875;14.66;13.95;7.75;65;65;-101;-100;57;57;Banda;SANTIAGO DEL ESTERO;feb-24
Pehuajó, BUENOS AIRES;1,630,000;360;3,050,000;14.99;15.90;3.87;62;62;-103;-100;54;54;Pehuajó;BUENOS AIRES;feb-24
Rivadavia, MENDOZA;2,420,000;1,470,000;1,220,000;12.21;11.16;10.73;76;72;-103;-98;70;68;Rivadavia;MENDOZA;feb-24
Primero de Mayo, CHACO;266;966;6,7;12.79;9.12;7.72;75;75;-104;-103;67;67;Primero de Mayo;CHACO;feb-24
Ambato, CATAMARCA;181;1,300,000;--;1.27;10.93;--;1,516;80;-99;-99;1,349;78;Ambato;CATAMARCA;feb-24
Chapaleufú, LA PAMPA;665;62,6;4,62;13.52;15.59;8.72;66;65;-98;-98;57;55;Chapaleufú;LA PAMPA;feb-24
Zapala, NEUQUÉN;2,640,000;195;3,100,000;11.36;16.74;10.33;84;72;-100;-97;77;64;Zapala;NEUQUÉN;feb-24
Salto, BUENOS AIRES;1,820,000;484;1,470,000;11.41;18;9.15;67;58;-99;-99;60;49;Salto;BUENOS AIRES;feb-24
Escalante, CHUBUT;20,000,000;1,540,000;12,400,000;12.05;15.82;12.52;77;71;-98;-97;70;63;Escalante;CHUBUT;feb-24
Quemú Quemú, LA PAMPA;368;20;3,46;15.49;13.83;15.46;70;65;-98;-91;60;56;Quemú Quemú;LA PAMPA;feb-24
Florentino Ameghino, CHUBUT;82,1;23,6;88,1;1.77;9.71;13.14;935;83;-89;-89;885;75;Florentino Ameghino;CHUBUT;feb-24
Las Colonias, SANTA FE;3,260,000;4,180,000;73;11.79;16.83;15.86;66;58;-102;-102;61;50;Las Colonias;SANTA FE;feb-24
San Miguel, CORRIENTES;299;523;5,82;13.27;11.37;15.20;74;68;-97;-93;67;62;San Miguel;CORRIENTES;feb-24
Chacabuco, SAN LUIS;2,590,000;373;114;10.60;12.62;14.96;87;77;-99;-99;81;66;Chacabuco;SAN LUIS;feb-24
Conhelo, LA PAMPA;676;8,74;308;13.77;21.94;15.20;73;51;-100;-100;65;44;Conhelo;LA PAMPA;feb-24
Cañuelas, BUENOS AIRES;2,680,000;1,510,000;3,270,000;13.45;13.49;4.89;59;59;-101;-101;54;54;Cañuelas;BUENOS AIRES;feb-24
Orán, SALTA;8,090,000;23,100,000;1,490,000;8.57;12.83;6.88;107;73;-102;-99;103;71;Orán;SALTA;feb-24
O'Higgins, CHACO;72,4;1,250,000;--;17.40;10.53;--;69;68;-100;-97;60;55;O'Higgins;CHACO;feb-24
Juan Bautista Alberdi, TUCUMÁN;1,140,000;2,100,000;97;11.81;9;12.28;85;80;-98;-97;78;78;Juan Bautista Alberdi;TUCUMÁN;feb-24
Pichi Mahuida, RÍO NEGRO;804;99,2;1,840,000;12.05;19.61;10.17;65;60;-96;-96;59;51;Pichi Mahuida;RÍO NEGRO;feb-24
Presidencia de la Plaza, CHACO;102;843;850;11.89;13.85;17.25;76;62;-104;-95;70;54;Presidencia de la Plaza;CHACO;feb-24
Comandante Fernández, CHACO;2,460,000;8,550,000;391;11.68;11.27;12.91;79;64;-100;-98;72;60;Comandante Fernández;CHACO;feb-24
Loreto, SANTIAGO DEL ESTERO;527;1,990,000;17,3;10.43;14.81;5.33;77;65;-103;-100;75;61;Loreto;SANTIAGO DEL ESTERO;feb-24
San Isidro, BUENOS AIRES;5,850,000;7,520,000;7,770,000;16.48;18.60;13.18;51;50;-97;-96;44;43;San Isidro;BUENOS AIRES;feb-24
Bolívar, BUENOS AIRES;809;551;2,450,000;17.50;19.71;6.09;62;52;-102;-99;52;43;Bolívar;BUENOS AIRES;feb-24
Cachi, SALTA;29,1;1,260,000;--;0.96;12.74;--;1,384;85;-97;-97;1,24;80;Cachi;SALTA;feb-24
Valle Grande, JUJUY;--;42,5;--;--;0.50;--;--;--;--;--;--;--;Valle Grande;JUJUY;feb-24
Yavi, JUJUY;264;2,890,000;1,24;12.44;7.65;9.65;84;84;-101;-95;75;75;Yavi;JUJUY;feb-24
La Matanza, BUENOS AIRES;30,200,000;35,200,000;52,600,000;16.65;18.32;10.72;52;49;-98;-96;45;42;La Matanza;BUENOS AIRES;feb-24
Bermejo, CHACO;465;2,590,000;4,41;13.35;12.23;10.06;70;70;-100;-98;63;63;Bermejo;CHACO;feb-24
Almirante Brown, CHACO;137;3,130,000;2,47;15.98;10.29;16.08;73;64;-99;-91;64;56;Almirante Brown;CHACO;feb-24
Tumbaya, JUJUY;313;1,030,000;7,12;14.27;13.53;8.38;75;75;-93;-93;67;67;Tumbaya;JUJUY;feb-24
Diamante, ENTRE RÍOS;1,060,000;2,430,000;33,1;14.44;15.41;15.23;67;61;-102;-101;59;53;Diamante;ENTRE RÍOS;feb-24
Empedrado, CORRIENTES;941;1,190,000;6,8;11.39;7.49;2.22;77;77;-102;-102;71;71;Empedrado;CORRIENTES;feb-24
Navarro, BUENOS AIRES;959;153;375;15.93;10.77;9.89;57;57;-101;-101;50;42;Navarro;BUENOS AIRES;feb-24
Los Andes, SALTA;130;870;--;1;13.26;--;1,44;85;-94;-94;1,279;80;Los Andes;SALTA;feb-24
Gobernador Dupuy, SAN LUIS;501;12,9;990;14.72;1.70;8.03;73;73;-100;-98;65;65;Gobernador Dupuy;SAN LUIS;feb-24
Benito Juárez, BUENOS AIRES;1,440,000;166;356;11.20;17.14;7.78;76;65;-100;-100;70;55;Benito Juárez;BUENOS AIRES;feb-24
San Antonio, RÍO NEGRO;2,800,000;853;6,780,000;6.85;16.37;10.99;90;74;-98;-97;92;65;San Antonio;RÍO NEGRO;feb-24
San Pedro, BUENOS AIRES;4,060,000;2,010,000;729;12.92;16.45;12.08;58;57;-98;-98;52;50;San Pedro;BUENOS AIRES;feb-24
Picunches, NEUQUÉN;565;6,05;49,2;7.63;0.97;9.54;103;94;-105;-103;106;91;Picunches;NEUQUÉN;feb-24
Tucumán, TUCUMÁN;17,800,000;27,200,000;4,930,000;12.65;16.36;9.33;73;59;-98;-97;66;55;Tucumán;TUCUMÁN;feb-24
San Cayetano, BUENOS AIRES;172;268;16,9;12.41;16.02;9.67;72;69;-107;-104;66;60;San Cayetano;BUENOS AIRES;feb-24
Luján, BUENOS AIRES;2,600,000;4,790,000;4,740,000;20.02;15.92;12.18;52;52;-102;-102;43;43;Luján;BUENOS AIRES;feb-24
9 de Julio, SAN JUAN;216;66,7;690;13.46;8.45;10.25;74;74;-101;-98;66;66;9 de Julio;SAN JUAN;feb-24
San Carlos, SALTA;175;666;--;15.56;15.76;--;75;62;-91;-91;65;54;San Carlos;SALTA;feb-24
Libertador General San Martín, MISIONES;1,900,000;2,860,000;4,99;11.77;8.72;11.22;81;75;-102;-96;73;73;Libertador General San Martín;MISIONES;feb-24
Sarmiento, SANTIAGO DEL ESTERO;547;531;66,5;6.56;18.84;3.79;97;60;-95;-90;89;54;Sarmiento;SANTIAGO DEL ESTERO;feb-24
Balcarce, BUENOS AIRES;1,620,000;1,900,000;972;13.57;14.24;8.22;67;65;-101;-100;60;59;Balcarce;BUENOS AIRES;feb-24
Apóstoles, MISIONES;761;3,320,000;7,99;13.57;10.92;14.80;74;73;-101;-90;66;65;Apóstoles;MISIONES;feb-24
Salliqueló, BUENOS AIRES;351;41,2;116;15.80;17.57;13.78;61;61;-101;-95;53;53;Salliqueló;BUENOS AIRES;feb-24
Curuzú Cuatiá, CORRIENTES;982;1,910,000;81,9;11.57;10.31;12.34;82;79;-101;-99;75;71;Curuzú Cuatiá;CORRIENTES;feb-24
Figueroa, SANTIAGO DEL ESTERO;19,3;893;--;11.02;9.35;--;85;85;-108;-105;79;79;Figueroa;SANTIAGO DEL ESTERO;feb-24
Tercero Arriba, CÓRDOBA;5,860,000;2,190,000;150;14.37;21.24;10.67;63;55;-99;-99;56;47;Tercero Arriba;CÓRDOBA;feb-24
Iriondo, SANTA FE;2,660,000;3,960,000;327;12.87;15.03;10.11;67;59;-100;-100;61;51;Iriondo;SANTA FE;feb-24
Río Chico, SANTA CRUZ;279;1,77;81,2;14.65;10.65;12.01;76;76;-91;-89;66;66;Río Chico;SANTA CRUZ;feb-24
Quebrachos, SANTIAGO DEL ESTERO;337;1,360,000;120;--;7.40;--;83;83;-86;-86;113;95;Quebrachos;SANTIAGO DEL ESTERO;feb-24
Ischilín, CÓRDOBA;1,830,000;1,280,000;13,6;15.31;18.09;12.64;61;56;-100;-98;54;49;Ischilín;CÓRDOBA;feb-24
Concepción, MISIONES;190;779;1,68;13.83;10.13;3.52;71;71;-101;-90;63;63;Concepción;MISIONES;feb-24
Puán, BUENOS AIRES;368;81,2;891;16.08;14.02;14.99;66;64;-100;-100;58;56;Puán;BUENOS AIRES;feb-24
Picún Leufú, NEUQUÉN;217;9,07;707;17.21;11.49;12;65;65;-97;-87;55;55;Picún Leufú;NEUQUÉN;feb-24
San Rafael, MENDOZA;5,130,000;684;5,730,000;13.48;14.40;11.50;78;72;-101;-101;69;64;San Rafael;MENDOZA;feb-24
Eldorado, MISIONES;1,420,000;8,750,000;101;11.95;12.27;14.46;85;71;-103;-102;76;62;Eldorado;MISIONES;feb-24
El Cuy, RÍO NEGRO;44,4;29,3;146;13.10;9.89;10.56;71;71;-93;-93;63;63;El Cuy;RÍO NEGRO;feb-24
General Güemes, SALTA;5,040,000;3,020,000;391;11.03;13.15;8.90;83;73;-100;-98;78;72;General Güemes;SALTA;feb-24
Unión, CÓRDOBA;4,680,000;2,270,000;112;13.53;20.71;11.46;67;56;-98;-98;60;48;Unión;CÓRDOBA;feb-24
Brandsen, BUENOS AIRES;1,950,000;530;1,760,000;12.03;17.05;6.19;63;53;-102;-102;59;47;Brandsen;BUENOS AIRES;feb-24
Carlos Tejedor, BUENOS AIRES;457;99,1;217;15.90;20.36;16.88;61;56;-99;-94;54;47;Carlos Tejedor;BUENOS AIRES;feb-24
General López, SANTA FE;7,360,000;7,230,000;237;13.48;16.38;13.74;67;59;-101;-101;60;51;General López;SANTA FE;feb-24
Calingasta, SAN JUAN;48,1;63,6;662;0.75;12.06;11.08;1,545;76;-101;-93;1,363;76;Calingasta;SAN JUAN;feb-24
La Costa, BUENOS AIRES;13,600,000;14,700,000;31,900,000;7.90;13.93;8.17;94;60;-102;-97;95;55;La Costa;BUENOS AIRES;feb-24
San Nicolás, BUENOS AIRES;5,740,000;4,780,000;1,190,000;12.13;12.41;11.50;65;62;-102;-100;60;57;San Nicolás;BUENOS AIRES;feb-24
Río Grande, TIERRA DEL FUEGO;7,300,000;721;8,980,000;11.16;13.35;8.74;88;87;-95;-95;80;78;Río Grande;TIERRA DEL FUEGO;feb-24
25 de Mayo, BUENOS AIRES;1,580,000;349;2,380,000;14.19;15.80;5.98;66;55;-99;-99;58;44;25 de Mayo;BUENOS AIRES;feb-24
Avellaneda, BUENOS AIRES;8,530,000;8,880,000;17,600,000;15.25;18.87;10.48;54;49;-98;-97;47;42;Avellaneda;BUENOS AIRES;feb-24
Aguirre, SANTIAGO DEL ESTERO;220;1,370,000;5,88;15.05;11.14;11.43;75;75;-98;-93;65;65;Aguirre;SANTIAGO DEL ESTERO;feb-24
Limay Mahuida, LA PAMPA;23,9;--;--;4.50;--;--;624;624;-84;-84;666;666;Limay Mahuida;LA PAMPA;feb-24
Escobar, BUENOS AIRES;8,410,000;11,000,000;11,800,000;15.69;19.35;10.68;53;50;-99;-97;46;43;Escobar;BUENOS AIRES;feb-24
Pilcomayo, FORMOSA;2,960,000;8,120,000;216;11.26;10.37;12.72;83;72;-98;-98;76;68;Pilcomayo;FORMOSA;feb-24
Tornquist, BUENOS AIRES;801;33,8;677;13.84;16.27;14.06;66;66;-97;-97;58;58;Tornquist;BUENOS AIRES;feb-24
General Alvear, MENDOZA;704;125;1,720,000;14.97;16.42;11.78;77;73;-104;-101;68;63;General Alvear;MENDOZA;feb-24
San Andrés de Giles, BUENOS AIRES;465;378;1,750,000;15.45;16.75;10.27;64;58;-100;-100;57;50;San Andrés de Giles;BUENOS AIRES;feb-24
Pehuenches, NEUQUÉN;3,480,000;880;1,960,000;5.82;4.55;10.14;96;75;-101;-100;108;78;Pehuenches;NEUQUÉN;feb-24
Mar Chiquita, BUENOS AIRES;3,080,000;1,660,000;4,200,000;10.20;11.27;8.95;74;74;-101;-100;72;72;Mar Chiquita;BUENOS AIRES;feb-24
Chicligasta, TUCUMÁN;2,360,000;5,110,000;121;13.38;13.53;11.14;72;66;-98;-98;65;62;Chicligasta;TUCUMÁN;feb-24
Caseros, SANTA FE;2,500,000;4,120,000;136;14.68;14.82;15.99;62;59;-101;-101;55;52;Caseros;SANTA FE;feb-24
Mendoza, MENDOZA;7,750,000;1,830,000;7,490,000;13.54;18.55;11.96;71;62;-97;-97;64;54;Mendoza;MENDOZA;feb-24
Caucete, SAN JUAN;838;333;1,110,000;11.78;12.47;12.08;82;72;-101;-101;74;67;Caucete;SAN JUAN;feb-24
Santa Lucía, SAN JUAN;844;979;2,440,000;14.41;17.59;10.63;72;64;-103;-100;63;57;Santa Lucía;SAN JUAN;feb-24
General Taboada, SANTIAGO DEL ESTERO;978;4,680,000;9,23;12.75;6.79;3.49;79;79;-100;-96;72;72;General Taboada;SANTIAGO DEL ESTERO;feb-24
Adolfo Gonzales Chaves, BUENOS AIRES;726;204;202;7.78;17.22;12.98;91;68;-96;-96;77;60;Adolfo Gonzales Chaves;BUENOS AIRES;feb-24
Antofagasta de la Sierra, CATAMARCA;170;2,05;--;0.99;0.81;--;1,539;1,243;-91;-91;1,343;1,097;Antofagasta de la Sierra;CATAMARCA;feb-24
Sarmiento, SAN JUAN;969;538;638;13.91;13.77;9.18;73;73;-99;-98;64;64;Sarmiento;SAN JUAN;feb-24
Humahuaca, JUJUY;519;2,980,000;4,56;7.49;10.43;7.83;107;81;-100;-84;106;80;Humahuaca;JUJUY;feb-24
Mburucuyá, CORRIENTES;313;664;2,88;13.22;7.01;1.35;80;80;-104;-96;72;72;Mburucuyá;CORRIENTES;feb-24
Goya, CORRIENTES;1,660,000;4,360,000;351;11.88;14.19;13.78;82;66;-99;-99;74;59;Goya;CORRIENTES;feb-24
Calamuchita, CÓRDOBA;9,840,000;4,360,000;640;9.45;13.48;7.41;70;66;-101;-100;70;61;Calamuchita;CÓRDOBA;feb-24
San Justo, SANTA FE;918;1,860,000;43,1;14.43;15.15;17.53;62;60;-101;-99;56;48;San Justo;SANTA FE;feb-24
Bahía Blanca, BUENOS AIRES;10,400,000;7,440,000;25,100,000;10.53;16.41;7.39;70;59;-101;-98;66;52;Bahía Blanca;BUENOS AIRES;feb-24
Castellanos, SANTA FE;5,230,000;7,350,000;230;15.26;15.18;13.59;62;62;-101;-100;55;55;Castellanos;SANTA FE;feb-24
Concepción, CORRIENTES;444;1,510,000;1,45;13.49;7.80;1.12;73;73;-98;-90;65;65;Concepción;CORRIENTES;feb-24
Añelo, NEUQUÉN;6,200,000;1,160,000;5,360,000;7.34;7.52;8.32;87;87;-99;-99;91;91;Añelo;NEUQUÉN;feb-24
La Caldera, SALTA;735;774;125;11.63;17.37;8.59;80;65;-104;-100;74;60;La Caldera;SALTA;feb-24
Chivilcoy, BUENOS AIRES;1,050,000;1,100,000;3,020,000;12.63;14.77;12.21;76;57;-98;-98;67;50;Chivilcoy;BUENOS AIRES;feb-24
Lanús, BUENOS AIRES;6,920,000;7,690,000;14,100,000;14.28;18.32;10.29;55;49;-99;-97;49;43;Lanús;BUENOS AIRES;feb-24
Río Hondo, SANTIAGO DEL ESTERO;2,510,000;4,750,000;557;16.58;16.01;9.44;62;62;-98;-97;53;53;Río Hondo;SANTIAGO DEL ESTERO;feb-24
Chical Co, LA PAMPA;1,5;--;--;10.99;--;--;110;110;-110;-110;116;116;Chical Co;LA PAMPA;feb-24
Coronel Felipe Varela, LA RIOJA;98,6;1,170,000;3,39;11.07;16.65;11.47;85;67;-97;-95;72;58;Coronel Felipe Varela;LA RIOJA;feb-24
Belén, CATAMARCA;1,230,000;2,270,000;6,83;10.46;10.65;1.73;94;83;-102;-97;86;81;Belén;CATAMARCA;feb-24
Saladillo, BUENOS AIRES;1,030,000;393;1,680,000;13.67;17.84;9.57;66;56;-101;-100;58;47;Saladillo;BUENOS AIRES;feb-24
Toay, LA PAMPA;608;82,5;413;13.59;18.46;14.16;72;59;-104;-102;62;51;Toay;LA PAMPA;feb-24
Gualeguaychú, ENTRE RÍOS;4,160,000;4,950,000;1,660,000;10.86;11.93;11.34;76;69;-101;-101;71;63;Gualeguaychú;ENTRE RÍOS;feb-24
Coronel de Marina Leonardo Rosales, BUENOS AIRES;1,520,000;2,550,000;3,180,000;14.17;16.75;12.33;63;63;-104;-101;56;56;Coronel de Marina Leonardo Rosales;BUENOS AIRES;feb-24
Malvinas Argentinas, BUENOS AIRES;8,080,000;9,150,000;13,900,000;15.23;17.27;10.33;55;52;-99;-98;48;45;Malvinas Argentinas;BUENOS AIRES;feb-24
Río Chico, TUCUMÁN;1,780,000;2,520,000;696;6.97;15.85;8.62;100;63;-102;-100;92;58;Río Chico;TUCUMÁN;feb-24
San Luis del Palmar, CORRIENTES;467;654;7,46;12.84;6.80;10.69;74;74;-101;-99;66;66;San Luis del Palmar;CORRIENTES;feb-24
General Angel V. Peñaloza, LA RIOJA;33,6;256;1,13;17.17;18.92;20.92;69;54;-93;-83;59;47;General Angel V. Peñaloza;LA RIOJA;feb-24
Independencia, LA RIOJA;65,1;157;824;16.39;19.90;20.87;69;55;-94;-79;59;50;Independencia;LA RIOJA;feb-24
Capital Federal, CIUDAD AUTÓNOMA DE BUENOS AIRES;67,300,000;90,800,000;123,000,000;15.01;18.80;13.45;52;49;-95;-95;45;42;Capital Federal;CIUDAD AUTÓNOMA DE BUENOS AIRES;feb-24
Lules, TUCUMÁN;2,360,000;3,730,000;393;13.55;16.41;10.22;72;62;-101;-101;65;57;Lules;TUCUMÁN;feb-24
Victoria, ENTRE RÍOS;1,660,000;2,590,000;298;10.65;13.23;8.39;69;67;-100;-100;64;61;Victoria;ENTRE RÍOS;feb-24
Pellegrini, SANTIAGO DEL ESTERO;31,9;2,100,000;73,2;15.26;3.42;10.22;74;74;-95;-95;64;64;Pellegrini;SANTIAGO DEL ESTERO;feb-24
San Pedro, JUJUY;3,910,000;9,320,000;461;12.56;14.72;7.55;77;70;-99;-99;70;66;San Pedro;JUJUY;feb-24
Baradero, BUENOS AIRES;1,620,000;3,250,000;270;12.19;12.45;10.93;60;60;-102;-102;56;56;Baradero;BUENOS AIRES;feb-24
Cruz Alta, TUCUMÁN;6,110,000;14,100,000;1,720,000;12.81;14.79;8.84;75;63;-101;-99;68;59;Cruz Alta;TUCUMÁN;feb-24
San Juan, SAN JUAN;3,470,000;2,180,000;7,990,000;15.21;19.92;12.13;69;60;-99;-94;61;53;San Juan;SAN JUAN;feb-24
9 de Julio, CHACO;86,9;2,170,000;1,58;16.60;10.50;16.26;73;69;-103;-90;63;62;9 de Julio;CHACO;feb-24
Corrientes, CORRIENTES;13,800,000;19,500,000;2,490,000;11.64;11.11;11.53;77;65;-100;-100;71;61;Corrientes;CORRIENTES;feb-24
Ensenada, BUENOS AIRES;576;2,570,000;4,060,000;12.58;16.57;10.78;57;54;-104;-102;52;49;Ensenada;BUENOS AIRES;feb-24
Ezeiza, BUENOS AIRES;6,340,000;5,190,000;12,000,000;14.83;19.12;10.32;54;50;-100;-100;48;43;Ezeiza;BUENOS AIRES;feb-24
Quitilipi, CHACO;272;2,650,000;41,5;15.18;8.96;14.14;72;67;-99;-95;63;63;Quitilipi;CHACO;feb-24
Coronel Pringles, SAN LUIS;1,600,000;92;177;11.22;16.17;10.24;88;75;-103;-102;81;67;Coronel Pringles;SAN LUIS;feb-24
Rivadavia, SALTA;261;2,760,000;166;9.83;10.28;--;102;89;-91;-91;93;84;Rivadavia;SALTA;feb-24
Yerba Buena, TUCUMÁN;2,520,000;2,980,000;448;14.43;19.85;9.48;69;57;-98;-98;61;51;Yerba Buena;TUCUMÁN;feb-24
La Viña, SALTA;169;1,910,000;44,8;12.47;10.63;12.15;76;76;-101;-95;70;70;La Viña;SALTA;feb-24
San Fernando, BUENOS AIRES;4,360,000;6,360,000;5,130,000;14.14;16.48;10.59;54;53;-98;-98;48;46;San Fernando;BUENOS AIRES;feb-24
Tapalqué, BUENOS AIRES;326;360;11,3;11.50;6.68;6.58;92;88;-101;-95;84;84;Tapalqué;BUENOS AIRES;feb-24
Pirané, FORMOSA;2,110,000;4,440,000;15,9;9.60;10.64;13.57;89;74;-99;-94;85;68;Pirané;FORMOSA;feb-24
Mayor Luis J. Fontana, CHACO;973;3,610,000;10,9;12.46;10.38;14.21;80;74;-104;-100;73;62;Mayor Luis J. Fontana;CHACO;feb-24
Guaymallén, MENDOZA;11,900,000;3,070,000;9,360,000;12.43;17.61;10.96;74;64;-101;-99;68;56;Guaymallén;MENDOZA;feb-24
Susques, JUJUY;29,4;128;--;1.41;0.54;--;983;983;-90;-90;931;781;Susques;JUJUY;feb-24
Avellaneda, SANTIAGO DEL ESTERO;610;2,740,000;15,1;11.63;12.77;10.52;81;68;-98;-93;71;66;Avellaneda;SANTIAGO DEL ESTERO;feb-24
Tapenagá, CHACO;58,6;123;--;17;20.76;--;69;51;-90;-89;58;42;Tapenagá;CHACO;feb-24
General Obligado, SANTA FE;4,090,000;6,130,000;199;14.40;14.65;15.93;67;65;-101;-101;60;54;General Obligado;SANTA FE;feb-24
Santiago del Estero, SANTIAGO DEL ESTERO;6,480,000;18,900,000;1,230,000;12.82;14.82;9.95;65;63;-100;-99;59;59;Santiago del Estero;SANTIAGO DEL ESTERO;feb-24
San Jerónimo, SANTA FE;2,300,000;4,380,000;346;12.37;15.44;13.55;70;58;-102;-99;64;50;San Jerónimo;SANTA FE;feb-24
Sargento Cabral, CHACO;82;1,220,000;2,1;16.24;13.60;15.10;67;67;-94;-94;58;58;Sargento Cabral;CHACO;feb-24
Iguazú, MISIONES;3,930,000;9,400,000;44,4;11.03;11.53;11.64;86;73;-100;-95;79;68;Iguazú;MISIONES;feb-24
Palpalá, JUJUY;1,750,000;2,390,000;221;11.83;11.43;8.84;80;75;-100;-100;73;73;Palpalá;JUJUY;feb-24
12 de Octubre, CHACO;85,2;2,110,000;2,42;14.15;14.46;13.45;75;65;-101;-98;66;58;12 de Octubre;CHACO;feb-24
Hucal, LA PAMPA;343;1,19;170;18.44;12;12.86;60;60;-97;-97;50;50;Hucal;LA PAMPA;feb-24
Colón, BUENOS AIRES;1,560,000;236;124;10.55;14.56;9.73;69;62;-103;-103;66;55;Colón;BUENOS AIRES;feb-24
Confluencia, NEUQUÉN;23,200,000;6,940,000;29,900,000;11.71;13.25;10.32;74;74;-101;-100;69;69;Confluencia;NEUQUÉN;feb-24
San Blas de los Sauces, LA RIOJA;65,7;384;3,38;13.29;14.89;5.39;87;72;-105;-105;78;64;San Blas de los Sauces;LA RIOJA;feb-24
25 de Mayo, MISIONES;85,3;1,150,000;448;12.47;8.79;--;92;87;-106;-106;82;82;25 de Mayo;MISIONES;feb-24
Leandro N. Alem, MISIONES;303;2,510,000;2,64;16.40;12.63;12.94;70;70;-97;-87;60;60;Leandro N. Alem;MISIONES;feb-24
Minas, NEUQUÉN;23,5;--;--;1.07;--;--;1,253;79;-101;-89;1,12;80;Minas;NEUQUÉN;feb-24
Las Heras, MENDOZA;5,970,000;2,680,000;6,720,000;12.69;15.45;11.34;76;66;-102;-101;69;57;Las Heras;MENDOZA;feb-24
La Cocha, TUCUMÁN;471;1,570,000;2,41;9.84;8.54;7.25;89;89;-99;-99;86;86;La Cocha;TUCUMÁN;feb-24
Loventué, LA PAMPA;347;2,39;346;12.28;11.14;6.33;81;72;-98;-94;72;72;Loventué;LA PAMPA;feb-24
Constitución, SANTA FE;3,400,000;3,390,000;277;11.69;17.21;12.31;66;56;-101;-100;61;48;Constitución;SANTA FE;feb-24
Santa María, CATAMARCA;346;2,050,000;183;9.65;7.20;--;76;76;-96;-95;72;72;Santa María;CATAMARCA;feb-24
Paso de los Libres, CORRIENTES;3,180,000;3,810,000;111;9.40;11.89;11.98;87;70;-99;-99;82;65;Paso de los Libres;CORRIENTES;feb-24
9 de Julio, SANTA FE;408;2,900,000;3,98;13.33;9.05;13.17;79;79;-96;-96;70;70;9 de Julio;SANTA FE;feb-24
Mercedes, BUENOS AIRES;1,610,000;959;3,090,000;10.91;12.29;8.45;87;63;-103;-103;81;52;Mercedes;BUENOS AIRES;feb-24
Güer Aike, SANTA CRUZ;7,170,000;1,350,000;8,140,000;11.71;12.88;10.52;84;84;-96;-96;76;76;Güer Aike;SANTA CRUZ;feb-24
General Manuel Belgrano, MISIONES;11,6;2,090,000;--;8.15;7.75;--;97;95;-87;-87;95;94;General Manuel Belgrano;MISIONES;feb-24
Rivadavia, SANTIAGO DEL ESTERO;217;247;570;16.74;18.60;9.45;66;66;-101;-95;57;57;Rivadavia;SANTIAGO DEL ESTERO;feb-24
Presidente Perón, BUENOS AIRES;2,560,000;1,030,000;2,410,000;13.02;14.03;8.55;61;59;-102;-102;56;53;Presidente Perón;BUENOS AIRES;feb-24
Tulumba, CÓRDOBA;846;1,760,000;17,6;14.84;18.36;8.71;59;57;-100;-86;51;50;Tulumba;CÓRDOBA;feb-24
Pilar, BUENOS AIRES;13,000,000;17,200,000;19,900,000;16.90;18.86;10.64;52;51;-99;-99;45;44;Pilar;BUENOS AIRES;feb-24
Ancasti, CATAMARCA;19,9;321;--;15.33;17.88;--;64;64;-108;-101;57;57;Ancasti;CATAMARCA;feb-24
Sauce, CORRIENTES;281;149;1,68;12.92;14.44;11.17;76;63;-93;-93;69;63;Sauce;CORRIENTES;feb-24
Lavalle, MENDOZA;1,680,000;1,130,000;150;9.03;8.26;6.21;87;87;-102;-101;84;84;Lavalle;MENDOZA;feb-24
Futaleufú, CHUBUT;893;143;3,980,000;9.33;15.24;8.27;100;76;-99;-99;94;67;Futaleufú;CHUBUT;feb-24
Chamical, LA RIOJA;606;780;21,6;13.32;14;11.56;75;67;-100;-100;67;61;Chamical;LA RIOJA;feb-24
Lihuel Calel, LA PAMPA;1,69;--;--;1.14;--;--;1,227;1,227;-92;-92;1,115;1,115;Lihuel Calel;LA PAMPA;feb-24
Vera, SANTA FE;1,340,000;1,890,000;28,4;13.50;17.28;18.68;67;58;-103;-96;61;48;Vera;SANTA FE;feb-24
Chalileo, LA PAMPA;52,5;--;--;15.04;--;--;79;79;-95;-95;70;70;Chalileo;LA PAMPA;feb-24
San Cristóbal, SANTA FE;2,300,000;4,180,000;13,3;13.44;13.54;13.33;72;71;-102;-102;65;64;San Cristóbal;SANTA FE;feb-24
Zárate, BUENOS AIRES;3,590,000;9,790,000;7,210,000;16.86;16.41;11.03;56;55;-101;-101;48;48;Zárate;BUENOS AIRES;feb-24
Valle Fértil, SAN JUAN;104;18,4;961;1.06;0.57;3.64;1,395;110;-97;-93;1,263;91;Valle Fértil;SAN JUAN;feb-24
Belgrano, SANTIAGO DEL ESTERO;59,8;1,150,000;--;16.94;17.07;--;72;62;-96;-96;61;56;Belgrano;SANTIAGO DEL ESTERO;feb-24
San Lorenzo, SANTA FE;10,500,000;10,000,000;2,520,000;9.55;12.67;12.10;77;62;-101;-101;76;56;San Lorenzo;SANTA FE;feb-24
