Departamentos;Muestras Claro;Muestras Personal;Muestras Movistar;THP Claro;THP Personal;THP Movistar;Latencia Claro;Latencia Mejor;Intensidad Claro;Intensidad Mejor;Tiempo IyV Claro;Tiempo IyV Mejor;Localidad;Provincia;Periodo
Saladas, CORRIENTES;1,000,000;3,750,000;20,8;13.90;7.92;15.84;68;65;-101;-101;65;59;Saladas;CORRIENTES;jun-24
Carmen de Areco, BUENOS AIRES;1,150,000;845;1,720,000;11.27;18.63;10.43;74;49;-98;-97;73;44;Carmen de Areco;BUENOS AIRES;jun-24
Gaiman, CHUBUT;1,650,000;34,5;241;12.21;15.70;14.36;76;70;-104;-100;72;66;Gaiman;CHUBUT;jun-24
Famatina, LA RIOJA;7,96;732;--;2.02;18.29;--;700;62;-95;-95;830;56;Famatina;LA RIOJA;jun-24
Villarino, BUENOS AIRES;2,860,000;1,260,000;2,440,000;14.06;17.41;15.54;62;60;-100;-98;58;55;Villarino;BUENOS AIRES;jun-24
Vicente López, BUENOS AIRES;14,700,000;19,300,000;20,000,000;14.80;19.52;15.13;50;45;-95;-95;49;42;Vicente López;BUENOS AIRES;jun-24
Magdalena, BUENOS AIRES;1,220,000;664;1,670,000;16.82;10.73;10.88;55;55;-100;-100;52;52;Magdalena;BUENOS AIRES;jun-24
San Martín, CORRIENTES;1,120,000;2,150,000;1,93;13.54;8.38;4.60;74;74;-99;-93;71;71;San Martín;CORRIENTES;jun-24
Necochea, BUENOS AIRES;7,870,000;2,710,000;4,750,000;14.19;17.90;12.91;69;58;-99;-99;65;53;Necochea;BUENOS AIRES;jun-24
Rosario, SANTA FE;95,900,000;106,000,000;44,800,000;13.91;14.80;15.48;56;50;-99;-99;54;49;Rosario;SANTA FE;jun-24
Paraná, ENTRE RÍOS;16,600,000;44,600,000;5,560,000;11.98;11.96;13.95;66;58;-100;-100;67;57;Paraná;ENTRE RÍOS;jun-24
Feliciano, ENTRE RÍOS;874;547;2,38;12.39;18.18;11.55;79;48;-103;-86;78;48;Feliciano;ENTRE RÍOS;jun-24
